date,open,high,low,close,volume
2014/08/24,52820,52820,52820,52820,0
2014/08/25,52185,52185,52185,52185,0
2014/08/26,53421,53421,53421,53421,0
2014/08/27,53013,53013,53013,53013,0
2014/08/28,52583,52583,52583,52583,0
2014/08/29,52912,52912,52912,52912,0
2014/08/30,52160,52160,52160,52160,0
2014/08/31,49753,49753,49753,49753,0
2014/09/01,49457,49457,49457,49457,0
2014/09/02,49932,49932,49932,49932,0
2014/09/03,49722,49722,49722,49722,0
2014/09/04,51462,51462,51462,51462,0
2014/09/05,50472,50472,50472,50472,0
2014/09/06,50654,50654,50654,50654,0
2014/09/07,50365,50365,50365,50365,0
2014/09/08,50052,50052,50052,50052,0
2014/09/09,50070,50070,50070,50070,0
2014/09/10,51019,51019,51019,51019,0
2014/09/11,51006,51006,51006,51006,0
2014/09/12,50865,50865,50865,50865,0
2014/09/13,51215,51215,51215,51215,0
2014/09/14,50961,50961,50961,50961,0
2014/09/15,50516,50516,50516,50516,0
2014/09/16,49676,49676,49676,49676,0
2014/09/17,49281,49281,49281,49281,0
2014/09/18,45800,45800,45800,45800,0
2014/09/19,42710,42710,42710,42710,0
2014/09/20,44332,44332,44332,44332,0
2014/09/21,43214,43214,43214,43214,0
2014/09/22,43399,43399,43399,43399,0
2014/09/23,47391,47391,47391,47391,0
2014/09/24,46039,46039,46039,46039,0
2014/09/25,44440,44440,44440,44440,0
2014/09/26,43922,43922,43922,43922,0
2014/09/27,43532,43532,43532,43532,0
2014/09/28,41111,41111,41111,41111,0
2014/09/29,41018,41018,41018,41018,0
2014/09/30,42351,42351,42351,42351,0
2014/10/01,41519,41519,41519,41519,0
2014/10/02,40323,40323,40323,40323,0
2014/10/03,39129,39129,39129,39129,0
2014/10/04,35720,35720,35720,35720,0
2014/10/05,35077,35077,35077,35077,0
2014/10/06,35727,35727,35727,35727,0
2014/10/07,36085,36085,36085,36085,0
2014/10/08,38133,38133,38133,38133,0
2014/10/09,39222,39222,39222,39222,0
2014/10/10,38616,38616,38616,38616,0
2014/10/11,38672,38672,38672,38672,0
2014/10/12,40501,40501,40501,40501,0
2014/10/13,41502,41502,41502,41502,0
